database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,908.9802411597915,8638.6724305,13879.679,16486.503,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,86.54960510928643,89825.84914,127218.67,154376.568,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,466.98618515235995,16891.499491,26248.077,30218.35,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,296.2966831061106,22676.223818,106637.264,125747.491,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,5138.963997346688,1464.1871395,2472.196,3567.561,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,438.37331806361607,17559.1747695,24784.569,28247.433,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1347.058705768672,5792.8450005,8328.996,10429.97,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1234.425998631749,5947.968272,21489.78,24148.087,2000,2000,0,8,42
