database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,801.3895058635986,9826.4235575,16369.318,20091.996,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,62.02034989610509,125657.8915145,182560.497,215170.504,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,386.8823668562751,20397.637881,32130.663,39907.048,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,220.1737548898373,33175.863039,160649.279,178525.79,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,3148.2385011319575,2316.9556235,4872.452,7190.864,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,320.4912713782787,24005.423153,37941.155,48396.682,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1243.7378769565526,6206.931885,8944.618,10116.268,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,878.4893858109624,8108.961966,31239.934,38553.311,2000,2000,0,8,42
