database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,836.2370679455836,9381.884714,18787.666,28251.009,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,71.36044064168988,108540.613427,182700.358,280016.819,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,503.329930658557,15677.048274,23317.757,26978.349,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,258.0196377247061,28207.065703,131453.9,140988.396,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,3428.6422035797686,2103.4178075,5262.068,9664.738,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,225.56744958066534,32517.5446645,67274.17,87107.075,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,693.99359174872,11052.102321,22297.222,32231.774,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,606.8122953430882,11935.5766365,42737.437,61826.855,2000,2000,0,8,42
