throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
19440.12441679627,505.8916402496162,793.0,1416.0,495.11468009549986,783.0,1392.0,redis,A,,,,,,
18518.51851851852,516.0863637320756,832.0,3537.0,566.5364687126345,976.0,4611.0,redis,B,,,,,,
19550.342130987294,498.41602,741.0,1243.0,,,,redis,C,,,,,,
20470.829068577277,451.19903152797514,687.0,1085.0,,,,redis,D,940.982017982018,1406.0,2419.0,,,
434.1823044659992,,,,,,,redis,E,1030.4301053887452,1714.0,3477.0,24068.437617799118,51295.0,65791.0
14351.320321469575,455.86068,706.0,1120.0,453.7175373508473,712.0,1132.0,redis,F,,,,,,
14684.287812041115,587.2636099709681,1583.0,4077.0,596.5787633603037,1599.0,3945.0,mongodb,A,,,,,,
12316.78778174652,658.9175026579786,1884.0,5219.0,885.7015790525685,2699.0,6339.0,mongodb,B,,,,,,
14494.854326714016,612.55268,1716.0,4975.0,,,,mongodb,C,,,,,,
13433.637829124127,654.1731380013882,1805.0,4651.0,,,,mongodb,D,912.5282865282866,2575.0,6639.0,,,
5193.995740923492,,,,,,,mongodb,E,1280.0617408906883,3973.0,8815.0,1871.9018830212497,5327.0,10863.0
8319.467554076538,776.06154,2091.0,5171.0,793.8587194692934,2135.0,5219.0,mongodb,F,,,,,,
