throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
21043.771043771045,466.4202936234899,702.0,1226.0,462.2567794576434,694.0,1221.0,redis,A,,,,,,
19157.088122605364,528.6914119666038,934.0,3891.0,620.8860330743175,1173.0,5031.0,redis,B,,,,,,
19912.385503783353,472.77394,684.0,1030.0,,,,redis,C,,,,,,
,385.3545454545455,568.0,740.0,,,,redis,D,792.8645161290323,1145.0,1419.0,,,
582.4145743423084,,,,,,,redis,E,792.3236831523924,1259.0,2351.0,18794.168332877318,40479.0,55039.0
24067.388688327315,314.36819,449.0,563.0,309.9664370217125,443.0,568.0,redis,F,,,,,,
1862.4054829217416,522.0841609828088,1148.0,3191.0,532.590998435557,1167.0,3175.0,mongodb,A,,,,,,
19634.792852935403,446.60056907998734,973.0,2247.0,562.3162426614481,1230.0,3025.0,mongodb,B,,,,,,
19696.67126255663,453.92025,946.0,2107.0,,,,mongodb,C,,,,,,
20052.135552436335,480.92161994555335,974.0,2467.0,,,,mongodb,D,591.7391483233903,1186.0,2859.0,,,
3796.6513535062077,,,,,,,mongodb,E,2076.029989868288,6623.0,13879.0,2611.1842844369644,7531.0,14159.0
10234.367004400778,652.09311,1448.0,3895.0,654.2235322329243,1452.0,3807.0,mongodb,F,,,,,,
