database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,651.9699279522168,12024.125727,20689.919,28311.38,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,57.70299697719595,133515.839804,210426.848,252989.665,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,430.57811932015045,18294.720108,27422.91,33683.652,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,220.11534834908377,33110.0013145,153237.499,177689.187,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,2274.202387588947,2865.4974925,8539.271,14329.577,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,369.8663794827084,20762.2837535,30703.12,36590.775,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,806.7891250006735,9640.333647,21590.617,35044.194,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,943.7165981685202,7862.3676035,29127.776,36866.762,2000,2000,0,8,42
