database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,811.8843718792351,9508.3525185,17882.563,31032.199,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,47.20025134617192,162386.600989,350293.554,459600.312,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,184.49501586055007,42320.6387645,73421.753,97479.397,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,160.3125118640013,41430.1058715,203380.581,280044.207,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,5035.7615107317215,1477.803381,2282.665,3101.125,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,200.16376704851768,38181.693696,84420.383,120017.123,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1101.1110796585403,6934.832736,12739.304,18150.656,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,577.5833212478678,12060.548161,45267.01,67354.667,2000,2000,0,8,42
