throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
19696.67126255663,495.0584219272429,768.0,1622.0,487.2554492238227,761.0,1623.0,redis,A,,,,,,
19809.825673534073,491.0502712096477,758.0,1279.0,495.4718100890208,781.0,1307.0,redis,B,,,,,,
19264.110961279137,505.07359,761.0,1285.0,,,,redis,C,,,,,,
21528.525296017222,420.0433770719687,648.0,944.0,,,,redis,D,876.0632685442284,1311.0,1864.0,,,
401.8630370397161,,,,,,,redis,E,1111.6775900671687,1960.0,4931.0,26118.567732707943,56447.0,75839.0
15715.857300015716,418.00399,636.0,944.0,409.2440202899132,630.0,940.0,redis,F,,,,,,
14236.902050113895,618.7931906692897,1713.0,4371.0,634.1476308133742,1735.0,4471.0,mongodb,A,,,,,,
15302.218821729151,554.7418620580642,1394.0,3883.0,761.643486777669,2022.0,5075.0,mongodb,B,,,,,,
13789.299503585218,648.07624,1828.0,4875.0,,,,mongodb,C,,,,,,
14162.2999575131,619.0703875577443,1804.0,4875.0,,,,mongodb,D,838.918293419199,2527.0,6067.0,,,
5298.013245033113,,,,,,,mongodb,E,1326.9737158908508,4077.0,8711.0,1903.1751704976004,5199.0,9943.0
11330.160888284614,539.14106,1289.0,3465.0,537.6490843949044,1324.0,3451.0,mongodb,F,,,,,,
