database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,1121.7768891179892,7043.710354,11651.33,13912.813,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,45.591450279826184,167725.0821665,335800.646,424844.563,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,299.08942065868337,26228.2964735,54705.038,71574.798,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,153.1025275679447,48517.6352935,230592.992,332297.615,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,3351.495944489359,2110.6803935,4697.749,6632.378,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,424.8684922347607,18272.548966,26496.247,29423.49,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1532.985444413031,5123.498055,7443.007,8999.003,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1113.5964027735088,6667.869581,23451.527,29789.266,2000,2000,0,8,42
