database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,697.0646905271127,11306.81131,20221.822,26308.807,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,41.93519879514816,181253.3024365,304941.504,349374.907,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,149.93451273553273,52390.4302895,103084.065,138910.381,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,129.72154655799764,56778.0823085,229420.478,283196.564,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,1745.493979146857,3661.836863,13299.827,25802.001,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,237.30707316422962,32047.0215235,53883.104,67174.25,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,791.5181848469126,9849.595269,20483.632,28226.84,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,498.69662967806767,15103.5878585,47716.773,63630.12,2000,2000,0,8,42
