throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
15757.957768673179,622.0479815686667,1113.0,3113.0,616.926185484676,1083.0,2841.0,redis,A,,,,,,
19611.688566385565,492.7366677533679,731.0,1213.0,519.9057218489106,775.0,1203.0,redis,B,,,,,,
17553.0981218185,575.22773,963.0,2585.0,,,,redis,C,,,,,,
22768.670309653917,406.30876986338825,635.0,918.0,,,,redis,D,858.8487685731732,1281.0,2077.0,,,
414.41844659389477,,,,,,,redis,E,1067.753593844908,1837.0,3873.0,25503.69580585098,55839.0,73983.0
12239.902080783353,371.22574285714285,591.0,1196.0,365.2714770749522,583.0,1261.0,redis,F,,,,,,
14803.849000740192,596.4859250398724,1458.0,3789.0,622.6477929373997,1552.0,3959.0,mongodb,A,,,,,,
7395.902669920863,1202.8431717042072,3991.0,9719.0,1566.6082474226805,4995.0,11559.0,mongodb,B,,,,,,
11486.331265793706,762.45868,2231.0,5815.0,,,,mongodb,C,,,,,,
13008.976193573566,685.6011790714812,2097.0,6051.0,,,,mongodb,D,862.4035928143712,2607.0,6331.0,,,
5677.302146020211,,,,,,,mongodb,E,1136.449061126648,3405.0,6611.0,1718.8293365896793,4443.0,8223.0
,560.98145,1477.0,3797.0,571.9246255338774,1474.0,3919.0,mongodb,F,,,,,,
