database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,706.6242883258273,11119.7719165,18398.952,22147.418,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,69.10861811913972,112385.936053,187265.836,225229.085,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,449.0503480769305,17460.873502,26725.343,32607.124,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,224.67691841083166,31872.0181645,149755.128,187387.298,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,5595.088555166048,1334.903805,1908.18,2799.924,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,429.2232886001955,17917.5235435,29040.927,34923.801,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1196.6371759844524,6533.589821,9717.262,12327.45,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1077.1365360531147,6957.0255865,24788.779,30008.373,2000,2000,0,8,42
