throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
19058.50962454736,517.6731157033043,824.0,1491.0,506.77910447761195,803.0,1433.0,redis,A,,,,,,
16860.56314280897,572.470238910006,1139.0,4435.0,658.424109807042,1606.0,5155.0,redis,B,,,,,,
20230.629172567267,480.21311,713.0,1160.0,,,,redis,C,,,,,,
19116.803670426303,483.19425505050503,752.0,1347.0,,,,redis,D,1004.200806451613,1553.0,3145.0,,,
447.1731946500199,,,,,,,redis,E,1009.4867629362215,1730.0,3539.0,24028.321763108594,52095.0,66879.0
17211.70395869191,380.085,566.0,781.0,373.18664912595426,560.0,761.0,redis,F,,,,,,
15499.070055796652,573.311537314916,1492.0,3647.0,590.6568179531046,1539.0,3715.0,mongodb,A,,,,,,
16131.634134537828,543.2448339055884,1352.0,3397.0,741.4034428175703,1872.0,4755.0,mongodb,B,,,,,,
17415.534656913966,503.1939,1167.0,3291.0,,,,mongodb,C,,,,,,
17235.43605653223,564.4084803570677,1347.0,3363.0,,,,mongodb,D,734.1740607513989,1821.0,4351.0,,,
6024.459304777396,,,,,,,mongodb,E,1054.5374458021286,2883.0,6055.0,1683.8465120198891,4183.0,7723.0
10874.293170943889,561.05432,1417.0,3639.0,566.6858681559788,1453.0,3621.0,mongodb,F,,,,,,
