throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
18480.872297172427,534.2918993852212,981.0,2677.0,516.0625771512763,910.0,2469.0,redis,A,,,,,,
18409.42562592047,529.4709901563405,859.0,3261.0,541.423928215354,912.0,3873.0,redis,B,,,,,,
19462.82600233554,499.13081,779.0,1817.0,,,,redis,C,,,,,,
21523.89151958674,429.94270416122095,662.0,1037.0,,,,redis,D,893.897931303669,1333.0,2055.0,,,
434.74480479958265,,,,,,,redis,E,1002.9188758222045,1542.0,3271.0,24068.778086604972,51935.0,73983.0
15015.015015015015,434.83545,657.0,1083.0,428.18524376814497,659.0,1072.0,redis,F,,,,,,
18112.660749864153,486.5753424657534,1135.0,3049.0,494.71868114258245,1136.0,2969.0,mongodb,A,,,,,,
18545.9940652819,464.62363994480785,1102.0,3027.0,616.4103577782171,1494.0,3635.0,mongodb,B,,,,,,
20173.492031470647,485.94906,1204.0,3351.0,,,,mongodb,C,,,,,,
15271.838729383018,568.3084907050675,1572.0,4519.0,,,,mongodb,D,785.4978008796481,2195.0,5887.0,,,
5584.408331937231,,,,,,,mongodb,E,1122.5706608280254,3429.0,7891.0,1745.552939690027,4739.0,9071.0
12782.819890067749,478.60524,1147.0,3329.0,490.7430984672177,1188.0,3355.0,mongodb,F,,,,,,
