throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
5651.313930488839,1731.3001652760906,4647.0,10415.0,1717.0430485526606,4695.0,10239.0,redis,A,,,,,,
5442.1768707483,1914.8806617275636,8367.0,15031.0,2081.6101286173634,9047.0,15703.0,redis,B,,,,,,
6973.014434139879,1375.52729,2829.0,6803.0,,,,redis,C,,,,,,
8874.689385871494,1236.68435824661,2233.0,5155.0,,,,redis,D,2512.67022587269,4527.0,9255.0,,,
211.70114572660069,,,,,,,redis,E,2321.989285714286,5531.0,14855.0,52868.46807076664,119487.0,169471.0
8100.445524503848,790.18615,1764.0,6511.0,774.7744662099908,1722.0,6299.0,redis,F,,,,,,
9586.808551433229,928.555043574076,3535.0,11343.0,912.8354197863632,3449.0,10791.0,mongodb,A,,,,,,
10837.758751490192,808.6936540365214,2717.0,10279.0,1203.241570805236,4667.0,12671.0,mongodb,B,,,,,,
13163.09069369488,842.28786,2867.0,10495.0,,,,mongodb,C,,,,,,
9451.79584120983,919.921285284274,3495.0,12031.0,,,,mongodb,D,1298.2462896109105,5435.0,13983.0,,,
4125.242357988532,,,,,,,mongodb,E,1743.0371835443038,6787.0,15127.0,2537.1702477249746,9895.0,17023.0
8726.764988218867,826.38357,2843.0,10823.0,831.1197079704752,2905.0,10719.0,mongodb,F,,,,,,
