database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,695.1240085365008,11245.4091705,19517.677,27320.249,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,62.25455992284934,126599.6285365,189191.98,222835.022,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,418.9048599736812,18817.8924275,28816.209,38341.336,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,204.29184660762547,35497.4729295,161691.636,189559.97,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,3158.1715339559846,2360.122456,6497.538,10307.198,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,310.3320097184653,24527.088271,39737.951,53134.63,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1254.9128843335898,6208.6756855,9650.671,12640.749,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1012.3801580305357,7078.7453765,26894.891,30463.23,2000,2000,0,8,42
