throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
19677.29240456513,496.3233687496248,774.0,1550.0,487.8718189632769,760.0,1557.0,redis,A,,,,,,
18271.51470856934,520.5303296726438,834.0,2837.0,564.7127511438233,921.0,3659.0,redis,B,,,,,,
21258.503401360544,457.69652,689.0,1118.0,,,,redis,C,,,,,,
21762.78563656148,426.29657174715715,645.0,1187.0,,,,redis,D,887.3897103504153,1328.0,2603.0,,,
474.8676306479569,,,,,,,redis,E,951.2937174869948,1499.0,3259.0,22154.720079577273,45631.0,64799.0
16477.179106936892,398.40663,604.0,840.0,391.6313801900247,606.0,850.0,redis,F,,,,,,
13563.000135630002,632.1868707048106,1695.0,4879.0,660.2651769982381,1774.0,5183.0,mongodb,A,,,,,,
13672.409078479628,653.363686127545,1837.0,4859.0,901.1711945665202,2611.0,6195.0,mongodb,B,,,,,,
15158.405335758678,572.53201,1421.0,3723.0,,,,mongodb,C,,,,,,
14450.86705202312,605.1994582173876,1676.0,4407.0,,,,mongodb,D,806.7622854914197,2305.0,5379.0,,,
5612.6171633832855,,,,,,,mongodb,E,1185.7415936417362,3335.0,8143.0,1733.2787692048837,4635.0,9207.0
11359.763716914687,533.87711,1341.0,3471.0,543.576831679214,1373.0,3437.0,mongodb,F,,,,,,
