database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,812.6520556817732,9699.092283,15873.666,19918.226,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,64.11454018493154,122690.870504,176336.107,203358.725,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,451.92581510035546,17514.7931505,25723.275,32773.603,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,241.53958804882092,30863.037394,145957.677,160951.319,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,2920.633801894387,2511.5539365,5962.035,12451.031,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,304.098545654102,25398.444827,41434.568,50689.475,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1275.6902985207628,6155.046732,9304.815,12786.712,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,953.8777660157577,7329.915898,27081.389,33376.419,2000,2000,0,8,42
