throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
13204.80654958405,749.6348103680206,1965.0,8463.0,728.843025919949,1870.0,8199.0,redis,A,,,,,,
15605.49313358302,626.2924912014499,1281.0,3255.0,636.5770890545311,1279.0,3609.0,redis,B,,,,,,
26659.557451346307,364.38409,568.0,1437.0,,,,redis,C,,,,,,
26574.541589157587,348.75316229242526,486.0,605.0,,,,redis,D,722.0872537193405,952.0,1160.0,,,
650.5672946809618,,,,,,,redis,E,682.5979096825084,961.0,1292.0,16478.837594412667,31311.0,41727.0
21349.27412467976,307.265,441.0,544.0,302.7873109730518,439.0,543.0,redis,F,,,,,,
19841.26984126984,448.0604629759309,1012.0,2339.0,458.18438993182593,1015.0,2391.0,mongodb,A,,,,,,
17361.11111111111,517.4038823319215,1183.0,2917.0,607.6479076479077,1245.0,3181.0,mongodb,B,,,,,,
23452.157598499063,378.6365,761.0,1494.0,,,,mongodb,C,,,,,,
9645.992090286485,939.2008891417254,2527.0,7163.0,,,,mongodb,D,1153.6107937758518,3457.0,8223.0,,,
5331.0587482674055,,,,,,,mongodb,E,1243.7134548274526,4223.0,10143.0,1793.5195483013854,5343.0,11303.0
12331.976815883587,500.15816,1125.0,3263.0,491.9412470983751,1155.0,3229.0,mongodb,F,,,,,,
