database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,809.4014982041585,9677.8343265,15569.184,18929.114,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,80.22054046477373,96564.271141,145378.207,178037.969,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,470.27657338213464,16843.882355,25396.903,29304.362,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,281.32482194085514,25516.24291,126702.35,152601.206,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,4620.218842762601,1596.5653825,2653.071,3967.296,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,430.57997756743157,18111.3376415,26420.957,32217.651,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1476.392872534049,5297.024168,7617.82,9920.38,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1074.5390884659203,6503.775093,22938.86,27330.21,2000,2000,0,8,42
