database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,820.5946537465747,9536.892387,15879.318,21066.246,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,62.67530749850766,123477.320296,178609.497,197314.35,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,424.3540566465724,18476.8151255,28207.96,33985.06,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,217.24823696183012,35207.6396075,166516.156,210135.84,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,3926.350098107263,1819.2413045,3327.566,4688.546,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,262.3026629441775,29415.6919555,53817.536,67345.337,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1305.8486092218434,5947.29889,8983.081,11636.857,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1047.7941620145905,6679.1733325,26610.775,31228.263,2000,2000,0,8,42
