database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,781.3767228222663,10018.0670585,16401.545,19585.889,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,65.30045878080307,120059.245588,180595.175,209481.358,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,452.967271480843,17462.146247,25783.972,33667.067,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,227.42595199312493,31509.457064,145741.817,165141.367,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,3939.581514210035,1903.57787,3563.053,5283.034,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,264.4660547803386,28925.7162625,52198.276,69236.142,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1238.4096789227822,6334.5213535,9457.168,11199.767,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,926.9650932773593,7958.912529,29069.205,37135.41,2000,2000,0,8,42
