throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
20533.88090349076,478.39216547538234,731.0,1169.0,469.32898585567176,721.0,1137.0,redis,A,,,,,,
16466.326362588505,596.5131673122263,875.0,4779.0,714.0622996794872,1159.0,6523.0,redis,B,,,,,,
21772.26213803614,447.01553,661.0,996.0,,,,redis,C,,,,,,
23651.844843897823,391.5698058783898,611.0,898.0,,,,redis,D,814.5381389776358,1242.0,1859.0,,,
472.3598626377519,,,,,,,redis,E,951.4436507936508,1444.0,2971.0,22125.144776748104,45087.0,59711.0
16092.6939169617,406.89427,629.0,946.0,399.7232694280714,625.0,948.0,redis,F,,,,,,
7595.321282090233,1176.4934553922749,4403.0,13503.0,1175.6189925878696,4535.0,13151.0,mongodb,A,,,,,,
13145.786775338504,652.1087036627607,1739.0,4435.0,907.892963922663,2429.0,5519.0,mongodb,B,,,,,,
16095.284081764043,550.7794,1343.0,3499.0,,,,mongodb,C,,,,,,
5915.409642117716,1532.4894544076787,6131.0,15391.0,,,,mongodb,D,2021.3424959871588,8155.0,19919.0,,,
4763.719512195122,,,,,,,mongodb,E,1373.2014940440138,4075.0,8127.0,2037.7524172251624,5747.0,10927.0
8343.763037129745,742.15154,2067.0,8807.0,745.7465564186754,2153.0,8687.0,mongodb,F,,,,,,
