database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,729.8328524685985,10835.27066,19297.543,25215.642,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,70.65003267738729,110940.2102115,185831.996,214727.388,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,515.2351910796051,15325.5261435,23149.683,27893.094,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,251.18698475583847,26861.2976605,127314.664,141796.353,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,3495.280692108591,2115.552793,4525.543,6558.825,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,327.48688410526296,23767.3720295,43531.971,56599.238,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1334.2265695582964,5775.71331,9010.23,11613.878,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,913.3761611519349,8028.794049,31027.716,40336.04,2000,2000,0,8,42
