database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,670.1415000091549,11758.921733,19589.232,25157.563,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,39.63219675250743,196443.798858,327042.34,359604.09,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,211.46240149954937,37470.3773245,68591.57,93624.193,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,115.35508334303829,64336.6649885,259374.641,322626.476,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,1745.493979146857,3661.836863,13299.827,25802.001,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,210.61476115274303,36959.2536525,62466.408,76572.955,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,682.2265265675103,11387.3177535,21677.186,30596.223,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,575.5419614405318,13040.825467,42323.365,55095.942,2000,2000,0,8,42
