database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,838.7135366920402,9369.7360055,15523.413,19480.295,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,69.12571192406972,113277.6856075,162537.333,177685.33,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,446.2567419634611,17714.787854,26435.607,31714.891,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,241.02447865357854,29376.8792085,142953.092,166936.522,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,4048.7213163398233,1835.110098,3263.662,4555.951,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,355.078174065828,21799.8976245,31836.184,38323.428,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1443.2226673782434,5416.005186,7745.835,9477.996,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1041.965148437041,6827.222684,26389.822,29311.353,2000,2000,0,8,42
