database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,1250.4943102405116,6268.130193,9971.446,12212.288,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,70.19439617193618,111600.1013275,217568.522,276032.238,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,268.10007285733917,29410.407775,51317.873,70336.067,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,204.6245235634175,34298.718555,156374.854,214813.796,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,6152.030945064194,1221.8743725,1888.201,2799.508,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,463.911733763478,16427.9694045,27844.362,39001.969,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1989.0232668020706,3910.4222535,5650.918,6884.939,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1014.9637743340137,6969.643597,25670.958,41423.489,2000,2000,0,8,42
