throughput,read_avg,read_95th,read_99th,update_avg,update_95th,update_99th,database,workload,insert_avg,insert_95th,insert_99th,scan_avg,scan_95th,scan_99th
5651.313930488839,1731.3001652760906,4647.0,10415.0,1717.0430485526606,4695.0,10239.0,redis,A,,,,,,
5442.1768707483,1914.8806617275636,8367.0,15031.0,2081.6101286173634,9047.0,15703.0,redis,B,,,,,,
6973.014434139879,1375.52729,2829.0,6803.0,,,,redis,C,,,,,,
8874.689385871494,1236.68435824661,2233.0,5155.0,,,,redis,D,2512.67022587269,4527.0,9255.0,,,
211.70114572660069,,,,,,,redis,E,2321.989285714286,5531.0,14855.0,52868.46807076664,119487.0,169471.0
8631.106507854307,1178.8811211147265,5039.0,13815.0,1246.352435530086,5395.0,14383.0,mongodb,A,,,,,,
9556.574923547401,1074.2728784132162,4395.0,12503.0,1507.6163141993957,6319.0,14151.0,mongodb,B,,,,,,
10029.084344599338,1033.38463,4025.0,12367.0,,,,mongodb,C,,,,,,
10188.487009679062,1017.7096689216244,3985.0,12071.0,,,,mongodb,D,1415.9154570419773,5607.0,13407.0,,,
2898.382702452032,,,,,,,mongodb,E,2578.0993752440454,11735.0,27215.0,3492.4418305613526,13607.0,28127.0
6318.316800404372,1068.27169,4375.0,12535.0,1118.1951869514687,4615.0,13095.0,mongodb,F,,,,,,
