database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,780.0207266406903,10095.1597905,19258.091,28231.9,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,61.28855278204853,126353.6472865,188601.271,226042.953,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,405.6436254075725,19499.5702405,29367.316,35755.067,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,208.627434972046,34587.7656785,165963.924,191757.923,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,3084.133971943219,2197.6632035,5698.636,10757.866,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,340.3184768744632,22773.2533185,35201.449,43095.092,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1230.8482125944545,6331.153566,9717.643,15490.662,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,733.7110233600442,10209.171754,36499.427,48095.125,2000,2000,0,8,42
