database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,1113.595470221378,7045.1085675,11623.026,14169.751,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,55.601139777783835,139044.7540875,275008.606,342108.533,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,362.7968105239369,21513.967352,39088.674,52721.617,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,213.10920362197126,33883.0836985,167427.85,285508.57,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,4503.316714148525,1625.926283,3039.435,5370.477,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,316.8357358550008,24409.314985,51095.134,63848.681,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,909.7644738954898,8413.361589,17603.465,25222.712,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1017.630683095504,6936.0953145,28574.341,32933.685,2000,2000,0,8,42
