database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,1186.1091068947853,6644.5649075,11079.178,13415.543,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,93.67889857373,83566.913947,116525.312,133287.144,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,584.8368924251172,13465.4655385,20233.805,26217.739,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,281.0241919988891,25607.212186,120145.803,139006.06,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,2842.6169505189782,2526.9565445,7513.227,12154.143,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,315.0487502970346,24802.6221015,40837.005,51799.461,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1292.9002483823485,5990.126247,9070.859,12580.335,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,1150.124026039864,6392.935098,24361.281,29843.738,2000,2000,0,8,42
