database,workload,description,throughput_ops_sec,avg_latency_us,p95_latency_us,p99_latency_us,operations_requested,operations_succeeded,operations_failed,thread_count,seed
mysql,SQL-W1,Join heavy,665.3076210558169,11892.020643,20742.166,27884.66,2000,2000,0,8,42
mysql,SQL-W2,Aggregation heavy,68.12178962927264,114447.0584925,175648.191,207155.484,2000,2000,0,8,42
mysql,SQL-W3,Transaction heavy,478.6291808692241,16528.040446,24594.5,29365.835,2000,2000,0,8,42
mysql,SQL-W4,Mixed OLTP + OLAP,245.74441708180944,29509.882952,142591.335,160951.534,2000,2000,0,8,42
postgres,SQL-W1,Join heavy,3751.3190364580482,1958.357712,3677.28,4865.879,2000,2000,0,8,42
postgres,SQL-W2,Aggregation heavy,294.04235124474974,26313.229678,46053.142,63759.274,2000,2000,0,8,42
postgres,SQL-W3,Transaction heavy,1126.949591238534,6908.9368855,11128.19,15956.083,2000,2000,0,8,42
postgres,SQL-W4,Mixed OLTP + OLAP,894.4581382709279,8249.0215895,31309.389,35666.696,2000,2000,0,8,42
